"Crops","Kharif_Total Area (lakh ha)","Kharif_Area Irrigated (lakh ha)","Kharif_% of Total Area","Rabi_Total Area (lakh ha)","Rabi_Area Irrigated (lakh ha)","Rabi_% of Total Area","Total_Total Area (lakh ha)","Total_Area Irrigated (lakh ha)","Total_% of Total Area"
"Paddy","35.44","19.1","53.9","2.22","2.22","100","37.66","21.32","56.6"
"Other Cereals","3.77","0.57","15.1","0.25","0.24","96","4.02","0.81","20.1"
"Pulses","7.08","0.39","5.5","13.39","2.67","19.9","20.47","3.06","14.9"
"Oilseeds","2.86","0.26","9.1","3.17","1.9","59.9","6.03","2.16","35.8"
"Fibers","1.6","0.03","1.9","0.0","0.0","0.0","1.6","0.03","1.9"
"Sugarcane","0.27","0.27","100.0","0.0","0.0","0.0","0.27","0.27","100.0"
"Vegetables","2.76","1.72","62.3","3.76","3.76","100","6.52","5.48","84.0"
"Spices","0.77","0.28","36.4","0.85","0.74","87.1","1.62","1.02","63.0"
"Total","54.28","22.35","41.2","23.91","11.8","49.4","78.19","34.15","43.7"
